KanbanID,Part No.,Part ID,Create_date
4008388,XX1700B500,500,29/09/2021 9:52
4008389,XX1700B500,500,29/09/2021 9:52
4008390,XX1700B500,500,29/09/2021 9:52
4008391,XX1700B500,500,29/09/2021 9:52
4008392,XX1700B500,500,29/09/2021 9:52
4008393,XX1700B500,500,29/09/2021 9:52
4008394,XX1700B500,500,29/09/2021 9:52
4008395,XX1700B500,500,29/09/2021 9:52
4008396,XX1700B500,500,29/09/2021 9:52
4008397,XX1700B500,500,29/09/2021 9:52
4008398,XX1700B500,500,29/09/2021 9:52
4008399,XX1700B500,500,29/09/2021 9:52
4008400,XX1700B500,500,29/09/2021 9:52
4008401,XX1700B500,500,29/09/2021 9:52
4008402,XX1700B500,500,29/09/2021 9:52
4008403,XX1700B500,500,29/09/2021 9:52
4008404,XX1700B500,500,29/09/2021 9:52
4008405,XX1700B500,500,29/09/2021 9:52
4008406,XX1700B500,500,29/09/2021 9:52
4008407,XX1700B500,500,29/09/2021 9:52
4008408,XX1700B500,500,29/09/2021 9:52
4008409,XX1700B500,500,29/09/2021 9:52
4008410,XX1700B500,500,29/09/2021 9:52
4008411,XX1700B500,500,29/09/2021 9:52
4008412,XX1700B500,500,29/09/2021 9:52
4008413,XX1700B500,500,29/09/2021 9:52
4079536,XX1700B500,500,29/09/2021 9:52
4079537,XX1700B500,500,29/09/2021 9:52
4079538,XX1700B500,500,29/09/2021 9:52
4079589,XX1700B500,500,29/09/2021 9:52
4079590,XX1700B500,500,29/09/2021 9:52
4079591,XX1700B500,500,29/09/2021 9:52
4079592,XX1700B500,500,29/09/2021 9:52
4079593,XX1700B500,500,29/09/2021 9:52
4079594,XX1700B500,500,29/09/2021 9:52
4079595,XX1700B500,500,29/09/2021 9:52
4079596,XX1700B500,500,29/09/2021 9:52
4079597,XX1700B500,500,29/09/2021 9:52
4079598,XX1700B500,500,29/09/2021 9:52
4079599,XX1700B500,500,29/09/2021 9:52
4079600,XX1700B500,500,29/09/2021 9:52
4079601,XX1700B500,500,29/09/2021 9:52
4079602,XX1700B500,500,29/09/2021 9:52
4079603,XX1700B500,500,29/09/2021 9:52
4079604,XX1700B500,500,29/09/2021 9:52
4079605,XX1700B500,500,29/09/2021 9:52
4079606,XX1700B500,500,29/09/2021 9:52
4079607,XX1700B500,500,29/09/2021 9:52
4079608,XX1700B500,500,29/09/2021 9:52
4079609,XX1700B500,500,29/09/2021 9:52
4149477,XX1700B504,504,29/09/2021 9:52
4149478,XX1700B504,504,29/09/2021 9:52
4149479,XX1700B504,504,29/09/2021 9:52
4149480,XX1700B504,504,29/09/2021 9:52
4189306,XX1700B504,504,29/09/2021 9:52
4189307,XX1700B504,504,29/09/2021 9:52
4189308,XX1700B504,504,29/09/2021 9:52
4189309,XX1700B504,504,29/09/2021 9:52
4189310,XX1700B504,504,29/09/2021 9:52
4189311,XX1700B504,504,29/09/2021 9:52
4189312,XX1700B504,504,29/09/2021 9:52
4189313,XX1700B504,504,29/09/2021 9:52
4189314,XX1700B504,504,29/09/2021 9:52
4189315,XX1700B504,504,29/09/2021 9:52
4189316,XX1700B504,504,29/09/2021 9:52
4189317,XX1700B504,504,29/09/2021 9:52
4189318,XX1700B504,504,29/09/2021 9:52
4189319,XX1700B504,504,29/09/2021 9:52
4189320,XX1700B504,504,29/09/2021 9:52
4189321,XX1700B504,504,29/09/2021 9:52
4189322,XX1700B504,504,29/09/2021 9:52
4189323,XX1700B504,504,29/09/2021 9:52
4189324,XX1700B504,504,29/09/2021 9:52
4189325,XX1700B504,504,29/09/2021 9:52
4189326,XX1700B504,504,29/09/2021 9:52
4189327,XX1700B504,504,29/09/2021 9:52
4189328,XX1700B504,504,29/09/2021 9:52
4189329,XX1700B504,504,29/09/2021 9:52
4189330,XX1700B504,504,29/09/2021 9:52
4189331,XX1700B504,504,29/09/2021 9:52
4189332,XX1700B504,504,29/09/2021 9:52
